"instytucja_id","typ","lokalizacja","wikikul_id"
2415,kolegium altarzystów,22056,Q451
2397,prepozytura szpitalna,24008,Q2875
2474,kolegium altarzystów,22765,Q452
2384,kolegium altarzystów,22017,Q454
2453,prepozytura szpitalna,24027,Q2878
2418,kolegium altarzystów,22057,Q455
2409,kolegium altarzystów,21993,Q456
2468,kolegium altarzystów,22733,Q457
2380,prepozytura szpitalna,24007,Q916
2371,kolegium mansjonarzy,22882,Q463
2423,kapelania,24018,Q933
2436,kolegium mansjonarzy,22066,Q464
