"id","slownik_id","typ","haslo_id","komentarz"
845,2455,instytucja,804,
847,975,instytucja,806,
848,2456,instytucja,807,
853,2457,instytucja,808,
854,2458,instytucja,809,
855,2288,instytucja,810,
856,2272,instytucja,811,
857,23931,miejsce,800,
858,2459,instytucja,812,
859,970,instytucja,813,
860,2232,instytucja,814,
861,2250,instytucja,815,
862,972,instytucja,816,
863,2243,instytucja,817,
864,2262,instytucja,818,
865,2267,instytucja,819,
866,2289,instytucja,820,
867,2460,instytucja,821,
870,2246,instytucja,825,
871,2264,instytucja,826,
872,2248,instytucja,827,
873,2461,instytucja,828,
879,2462,instytucja,829,
883,2463,instytucja,830,
884,143,osoba,829,
885,2464,instytucja,831,
886,144,osoba,830,
887,145,osoba,831,
888,2462,instytucja,832,
889,146,osoba,832,
890,147,osoba,833,
892,2462,instytucja,834,
891,2462,instytucja,833,
893,148,osoba,834,
894,2462,instytucja,835,
896,2465,instytucja,836,
897,2269,instytucja,837,
898,2270,instytucja,838,
899,23949,miejsce,824,
900,11766,miejsce,839,
901,149,osoba,835,
902,150,osoba,839,
903,12090,miejsce,840,
904,11854,miejsce,841,
905,151,osoba,840,
907,152,osoba,841,
908,7975,miejsce,842,
909,153,osoba,842,
910,154,osoba,843,
911,7991,miejsce,843,
913,8934,miejsce,844,
914,17270,miejsce,845,
915,155,osoba,844,
916,156,osoba,845,
917,2254,instytucja,846,
918,157,osoba,847,
919,2466,instytucja,847,
